,IMDB Rating,Metascore,Votes,Duration,Gross
0,9.2,100.0,,175,134970000.0
1,9.0,90.0,,202,57300000.0
2,7.7,86.0,56476.0,124,54800000.0
3,8.3,100.0,313044.0,218,44820000.0
4,7.4,73.0,64331.0,113,
5,7.6,90.0,216050.0,138,132090000.0
6,8.5,82.0,348110.0,166,5320000.0
7,7.7,73.0,78858.0,150,45300000.0
8,8.0,96.0,234034.0,137,
9,7.8,80.0,59119.0,124,42770000.0
10,8.5,97.0,,109,32000000.0
11,8.1,86.0,146211.0,130,4360000.0
12,7.9,100.0,106938.0,102,10460000.0
13,8.1,88.0,232645.0,161,44910000.0
14,7.9,69.0,81820.0,197,111720000.0
15,8.8,90.0,,161,6100000.0
16,8.0,78.0,147146.0,118,
17,7.9,73.0,153077.0,80,
18,7.8,83.0,85196.0,113,13470000.0
19,7.7,87.0,121187.0,113,4420000.0
20,8.3,100.0,425385.0,128,3200000.0
21,5.8,31.0,76217.0,104,58850000.0
22,7.1,73.0,53670.0,130,7000000.0
23,7.7,80.0,118842.0,109,7060000.0
24,6.8,77.0,87091.0,118,94210000.0
25,6.4,22.0,156829.0,95,39750000.0
26,8.0,86.0,272254.0,125,50000000.0
27,8.5,100.0,,112,36760000.0
28,7.2,,45330.0,112,
29,7.5,59.0,45881.0,210,46300000.0
30,7.7,95.0,101519.0,170,72000000.0
31,8.5,89.0,,117,78900000.0
32,8.6,90.0,,121,322740000.0
33,8.7,82.0,,124,290480000.0
34,7.4,86.0,205836.0,98,33800000.0
35,8.0,90.0,86587.0,134,8279999.999999999
36,9.0,97.0,,96,4360000.0
37,8.3,100.0,464602.0,119,1590000.0
38,8.1,97.0,181240.0,104,450000.0
39,7.4,74.0,41277.0,153,16800000.0
40,8.4,94.0,,147,83470000.0
41,8.2,75.0,188119.0,105,10000.0
42,8.6,89.0,497634.0,130,
43,8.3,88.0,331928.0,129,
44,8.2,98.0,138377.0,138,10000.0
45,7.9,,76691.0,220,93740000.0
46,8.0,99.0,109503.0,95,2240000.0
47,7.7,73.0,151809.0,93,119500000.0
48,7.4,82.0,67421.0,111,
49,7.0,55.0,115921.0,125,46800000.0
50,8.1,87.0,,124,260000000.0
51,7.7,94.0,135004.0,104,15630000.0
52,8.1,83.0,452972.0,122,232910000.0
53,8.0,75.0,79672.0,131,
54,7.6,84.0,42085.0,201,
55,8.4,85.0,263525.0,149,11490000.0
56,8.0,93.0,124834.0,138,50000.0
57,8.0,95.0,77951.0,174,19520000.0
58,8.1,70.0,,120,117240000.0
59,8.0,92.0,277594.0,93,39200000.0
60,7.7,83.0,134207.0,130,29800000.0
